x	y	z	rrmse
-21.2088	15.4222	-11.2369	0.1979273351705475
-15.6489	15.376	-15.3509	0.2373367322035253
-7.6988	-14.6185	14.1142	0.26553641591174026
-22.2119	15.3473	-4.86946	0.23733789059242918
11.6982	21.2507	-2.96339	0.26976973022118633
30.6303	5.15305	-10.2891	0.26306984489365254
26.2993	-11.4058	15.5819	0.29443680541704476
4.92579	-6.4362	-32.4579	0.26578030062665864
-4.9729	20.3881	10.5793	0.2397288659284133
17.1301	20.876	9.83353	0.2523135761936193
0.556175	-13.763	-1.50716	0.27930896940273325
-13.5154	14.2012	19.6912	0.28010536423106897
11.6566	-11.3283	29.229	0.27943258449533454
12.5323	12.7012	-19.8706	0.23979961631373894
-1.76962	-15.6465	14.829	0.22138400529937158
-9.38915	-11.9493	-10.7442	0.23146908758627913
25.051	6.25734	-17.5478	0.23346559924072663
-22.6281	11.9387	-19.2486	0.25824314103230933
-26.2255	-11.0837	14.1333	0.20700883746690374
-32.824	-7.17573	-9.51117	0.2519792932229767
16.8873	15.0073	13.3182	0.302465869313437
29.4696	10.1041	-4.16265	0.21392979515832708
26.5874	-15.539	24.9648	0.2170876063788382
-19.3458	-14.3066	-3.46381	0.26219314933151405
-9.45934	18.3176	-7.75423	0.2094944245507752
-3.79249	20.0312	-6.83518	0.21697605946757825
4.23025	-11.4307	-6.14329	0.22732552237865247
-28.5279	6.91162	11.6146	0.24864961819758696
-3.34102	-5.46074	22.9172	0.2598174595866573
17.39	15.2169	-7.2876	0.2601201031287421
-9.03953	-1.04925	24.2472	0.2624536740289883
17.9485	-13.0898	-19.2974	0.2476224051355985
-13.4777	17.2475	13.3688	0.2899380251658893
-11.5669	-0.178857	-27.8769	0.23159846413432925
-25.1923	-12.0342	-2.93422	0.2714637593687777
-27.1082	13.0761	-10.4296	0.24147796478939826
17.7558	9.58903	8.07243	0.261574247640069
17.6079	-5.18373	-32.0104	0.2577992517985243
23.2275	-7.76136	28.4422	0.2822521712229468
-11.2042	-12.5831	-24.2178	0.24222210597982624
11.0136	4.90503	-27.1204	0.2551715527101558
7.57153	16.6791	22.7366	0.237011517779791
11.5936	-11.8767	-8.82734	0.21209849545729362
-26.4218	3.05745	19.9753	0.2014783894786985
19.6183	-19.3036	23.4452	0.21343043523449756
11.8634	15.9849	-14.2643	0.2302573089451113
10.9221	-15.2364	16.1121	0.25533542382494123
5.2188	-9.21771	-12.2665	0.2493294278073214
7.95755	0.574613	-30.1688	0.28381476931858945
-31.7388	-7.0376	-14.7231	0.25699657239973284
-29.2984	-11.2311	5.08883	0.19238163106462114
-33.5038	0.0386028	-15.145	0.25777276739673
8.17991	5.54661	17.9453	0.250708567351103
28.1074	-6.63708	-4.95631	0.27022253177876665
34.7895	-19.4461	19.6488	0.27050820198115305
-15.1425	-13.4784	-12.7027	0.2615057303954428
6.51638	14.1908	-20.1066	0.24037115417250207
9.92518	21.3035	13.4547	0.2724500921140881
21.6369	-6.27177	10.3754	0.22365864485925363
-33.313	3.06411	12.4653	0.2698997866706422
1.25933	-4.62082	23.2902	0.2550863712139432
17.3294	-1.90572	25.7845	0.199481161972985
-16.5765	3.57613	24.6569	0.2812448846301645
13.1489	-14.1754	-22.5129	0.230423292954344
-16.4233	18.2501	3.43548	0.2409442707841194
-19.3102	5.5569	-25.1757	0.241071553251368
-11.6734	-17.1012	0.677014	0.25569081098588015
-23.3631	14.1998	3.34382	0.2365938795375974
15.6753	20.8567	-0.0566874	0.2728244370948914
25.5735	-3.49693	-21.2405	0.2646631044017566
28.5108	-24.7869	16.3843	0.3045998351808434
